2023-07-24 17:54:43.122 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-07-24 17:54:43.128 [scheduling-1] INFO  com.example.dockertest.CustomRun - 時間:17:54:43啟動成功，關閉倒數10
2023-07-24 17:54:43.130 [main] INFO  c.e.dockertest.DockerTestApplication - Started DockerTestApplication in 1.862 seconds (JVM running for 2.246)
2023-07-24 17:54:44.133 [scheduling-1] INFO  com.example.dockertest.CustomRun - 時間:17:54:44啟動成功，關閉倒數9
2023-07-24 17:54:45.142 [scheduling-1] INFO  com.example.dockertest.CustomRun - 時間:17:54:45啟動成功，關閉倒數8
2023-07-24 17:54:46.150 [scheduling-1] INFO  com.example.dockertest.CustomRun - 時間:17:54:46啟動成功，關閉倒數7
2023-07-24 17:54:47.161 [scheduling-1] INFO  com.example.dockertest.CustomRun - 時間:17:54:47啟動成功，關閉倒數6
2023-07-24 17:54:48.167 [scheduling-1] INFO  com.example.dockertest.CustomRun - 時間:17:54:48啟動成功，關閉倒數5
2023-07-24 17:54:49.168 [scheduling-1] INFO  com.example.dockertest.CustomRun - 時間:17:54:49啟動成功，關閉倒數4
2023-07-24 17:54:50.178 [scheduling-1] INFO  com.example.dockertest.CustomRun - 時間:17:54:50啟動成功，關閉倒數3
2023-07-24 17:54:51.190 [scheduling-1] INFO  com.example.dockertest.CustomRun - 時間:17:54:51啟動成功，關閉倒數2
2023-07-24 17:54:52.197 [scheduling-1] INFO  com.example.dockertest.CustomRun - 時間:17:54:52啟動成功，關閉倒數1
2023-07-24 17:54:53.208 [scheduling-1] INFO  com.example.dockertest.CustomRun - 時間:17:54:53啟動成功，關閉倒數0
2023-07-24 17:54:54.230 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2023-07-24 17:54:54.231 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-07-24 17:54:54.236 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-07-24 18:04:37.695 [main] INFO  c.e.d.DockerTestApplicationTests - Starting DockerTestApplicationTests using Java 17.0.7 on FA00080 with PID 30432 (started by leon.yu in C:\Users\leon.yu\IdeaProjects\multiple-datasource-spring-boot-example-main\docker-test)
2023-07-24 18:04:37.696 [main] INFO  c.e.d.DockerTestApplicationTests - No active profile set, falling back to 1 default profile: "default"
2023-07-24 18:04:38.083 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-07-24 18:04:38.094 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 4 ms. Found 0 JPA repository interfaces.
2023-07-24 18:04:38.498 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-07-24 18:04:41.892 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-07-24 18:04:41.943 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
2023-07-24 18:04:42.055 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2023-07-24 18:04:42.172 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-07-24 18:04:43.192 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2023-07-24 18:04:55.614 [main] INFO  c.e.d.DockerTestApplicationTests - Starting DockerTestApplicationTests using Java 17.0.7 on FA00080 with PID 30376 (started by leon.yu in C:\Users\leon.yu\IdeaProjects\multiple-datasource-spring-boot-example-main\docker-test)
2023-07-24 18:04:55.616 [main] INFO  c.e.d.DockerTestApplicationTests - No active profile set, falling back to 1 default profile: "default"
2023-07-24 18:04:56.011 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-07-24 18:04:56.021 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 4 ms. Found 0 JPA repository interfaces.
2023-07-24 18:04:56.405 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-07-24 18:04:59.804 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-07-24 18:04:59.845 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
2023-07-24 18:04:59.963 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2023-07-24 18:05:00.084 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-07-24 18:05:01.103 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2023-07-24 18:05:16.804 [main] INFO  c.e.d.DockerTestApplicationTests - Starting DockerTestApplicationTests using Java 17.0.7 on FA00080 with PID 7824 (started by leon.yu in C:\Users\leon.yu\IdeaProjects\multiple-datasource-spring-boot-example-main\docker-test)
2023-07-24 18:05:16.805 [main] INFO  c.e.d.DockerTestApplicationTests - No active profile set, falling back to 1 default profile: "default"
2023-07-24 18:05:17.204 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-07-24 18:05:17.216 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 4 ms. Found 0 JPA repository interfaces.
2023-07-24 18:05:17.619 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-07-24 18:05:17.887 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-07-24 18:05:17.932 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-07-24 18:05:17.970 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
